file	map	dur	bots	human	stalls	stall_pm	stall_max_bot	freezes	fz_max	fz_fire	routefail	rf_pm	trapped	abandon	unstick	engage	eng_pm	pursue	retreat	grab	goal	weapon	hazard	haz_pm	bot_deaths	bot_world	bot_lava_z	bot_lava_obit	bot_kills_human	human_kills_bot	human_deaths	human_world	bot_kills_bot	human_frg	bot_frg	frag_spread	cells	cells_pm	avg_spd	mode2	doors	lifts	boards	trains	jumps	rjump	swim	hunch	prefire	watch	shove
shane_dm2_2026-08-18_v330.log	dm2	257	3	player	71	16.6	30	0	0	0	114	26.6	8	8	0	73	17.0	79	0	0	202	28	295	68.8	38	1	0	1	5	7	5	0	19		Zeus=4;Omi=5;Reap=5	1	654	152.6	224	66	0	18	0	0	96	0	12	0	0	0	0
shane_dm2_2026-08-18_v333.log	dm2	406	3	player	90	13.3	46	0	0	0	266	39.3	18	4	0	128	18.9	123	0	0	462	45	432	63.9	76	2	0	0	13	16	14	1	35		Zeus=8;Omi=11;Reap=6	5	861	127.3	234	72	0	21	0	0	135	2	0	0	0	0	0
shane_dm2_2026-08-18_v334.log	dm2	375	3	player	119	19.1	49	0	0	0	226	36.2	14	6	0	100	16.0	123	0	0	370	29	455	72.8	67	1	0	0	1	23	2	1	23		Zeus=5;Omi=-3;Reap=3	8	812	130.0	216	67	0	25	0	0	141	3	0	0	0	0	0
shane_dm2_2026-08-19_v336.log	dm2	259	3	player	43	10.0	16	0	0	0	272	63.1	14	7	0	72	16.7	115	0	0	393	12	253	58.7	50	1	0	1	2	13	2	0	18		Joe Rogan=1;Romero=4;Carmack=-1	5	694	161.0	233	62	26	11	0	0	73	1	13	0	0	0	0
shane_dm2_2026-08-19_v337.log	dm2	192	3	player	45	14.1	28	2	7.1	2	176	55.0	8	12	0	48	15.0	72	0	0	234	23	205	64.1	24	1	0	1	2	6	4	2	8		Joe Rogan=0;Romero=0;Carmack=2	2	538	168.2	223	64	70	16	0	0	59	0	27	0	0	0	0
shane_dm2_2026-08-19_v340.log	dm2	196	3	player	42	12.9	17	0	0	0	42	12.9	3	26	0	50	15.3	44	0	0	135	8	184	56.3	29	1	0	0	4	11	4	0	10		Joe Rogan=4;Romero=2;Carmack=4	2	454	138.9	207	73	36	6	0	0	91	0	0	0	0	0	0
shane_dm2_2026-08-19_v341.log	dm2	56	3	player	15	16.0	9	0	0	0	8	8.5	0	2	0	11	11.7	25	0	0	27	2	70	74.7	6	0	0	0	0	2	1	1	3		Joe Rogan=2;Romero=0;Carmack=1	2	186	198.6	213	56	2	2	0	1	20	0	0	0	0	0	0
shane_dm2_2026-08-19_v342.log	dm2	125	3	player	37	17.7	24	0	0	0	36	17.2	1	9	0	23	11.0	31	0	0	92	8	179	85.7	15	1	0	0	1	7	1	0	6		Joe Rogan=2;Romero=-1;Carmack=5	6	354	169.5	221	69	14	27	0	0	53	0	0	0	0	0	0
shane_dm2_2026-08-19_v342b.log	dm2	34	3	player	5	8.8	3	0	0	0	4	7.0	0	1	0	7	12.3	7	0	0	16	2	35	61.6	2	0	0	0	2	1	2	0	1		Joe Rogan=1;Romero=1;Carmack=1	0	127	223.5	250	37	4	1	0	0	12	0	0	0	0	0	0
shane_dm2_2026-08-19_v343.log	dm2	16	3	player	0	0.0	0	0	0	0	0	0.0	0	0	0	4	15.2	1	0	0	0	1	19	72.2	1	0	0	0	1	0	1	0	1		Joe Rogan=1;Romero=0;Carmack=1	1	71	269.6	284	0	0	0	0	0	0	0	0	0	0	0	0
shane_dm2_2026-08-19_v344.log	dm2	157	3	player	18	6.9	7	0	0	0	49	18.8	3	9	0	44	16.8	57	0	0	118	10	191	73.1	23	1	0	1	4	8	7	3	11		Joe Rogan=3;Romero=3;Carmack=5	2	500	191.3	240	80	26	6	0	2	44	0	7	0	0	0	0
shane_dm2_2026-08-19_v344b.log	dm2	190	3	player	13	4.1	6	1	6.6	0	60	18.9	3	9	0	45	14.2	84	0	0	135	6	209	66.0	28	0	0	0	1	13	1	0	10		Joe Rogan=5;Romero=2;Carmack=0	5	579	182.7	247	77	29	9	0	10	39	1	0	0	0	0	0
shane_dm2_2026-08-19_v344c.log	dm2	77	3	player	13	10.1	9	0	0	0	18	14.0	1	2	0	20	15.6	31	0	0	46	6	86	66.9	9	0	0	0	2	4	3	1	4		Joe Rogan=2;Romero=4;Carmack=-1	5	276	214.8	247	84	4	10	0	0	23	0	0	0	0	0	0
shane_dm2_2026-08-19_v345.log	dm2	188	3	player	43	13.7	29	2	7.1	0	46	14.7	2	11	0	30	9.6	47	0	0	114	29	279	88.9	18	0	0	0	1	8	1	0	7		Joe Rogan=0;Romero=1;Carmack=5	5	444	141.5	227	80	19	33	0	157	66	0	0	0	0	0	0
shane_dm2_2026-08-19_v346.log	dm2	112	3	player	19	10.1	7	1	6.6	0	52	27.8	0	9	0	28	14.9	28	0	0	107	15	148	79.0	13	0	0	0	2	5	3	1	5		Joe Rogan=3;Romero=2;Carmack=1	2	390	208.2	232	80	15	10	0	11	42	0	0	0	0	0	0
shane_dm2_2026-08-19_v347.log	dm2	192	3	player	23	7.2	11	0	0	0	53	16.5	3	10	0	58	18.1	53	0	0	137	11	189	59.0	26	0	0	0	4	8	4	0	13		Joe Rogan=2;Romero=4;Carmack=7	5	573	178.8	234	79	89	9	0	2	71	0	0	0	0	0	0
shane_dm2_2026-08-19_v352.log	dm2	412	3	player	61	8.9	21	7	17.9	2	137	20.0	4	28	0	101	14.7	119	0	0	318	51	426	62.1	46	2	0	2	7	13	9	2	25		Joe Rogan=10;Romero=4;Carmack=10	6	902	131.5	209	78	23	16	0	14	179	3	25	0	0	0	0
shane_dm2_2026-08-20_v356.log	dm2	153	3	player	20	7.8	9	3	8.7	0	42	16.4	2	8	0	43	16.8	34	0	0	110	8	221	86.6	22	1	0	0	4	8	4	0	11		Joe Rogan=3;Romero=5;Carmack=5	2	446	174.7	209	79	12	13	0	0	43	0	0	0	0	0	0
shane_dm2_2026-08-20_v357.log	dm2	276	3	player	38	8.2	18	1	14.7	0	64	13.9	3	12	0	62	13.5	116	20	0	180	33	328	71.2	30	0	0	0	3	7	5	2	19		Joe Rogan=9;Romero=6;Carmack=4	5	673	146.0	224	76	97	16	0	2	91	0	0	0	0	0	0
shane_dm2_2026-08-20_v363.log	dm2	587	3	player	62	6.3	26	7	19.4	2	202	20.6	4	28	0	121	12.4	207	70	123	423	59	695	71.0	80	1	0	1	2	39	5	3	30		Joe Rogan=12;Romero=11;Carmack=3	9	1128	115.2	225	80	129	22	0	13	169	1	12	0	0	0	0
